Municipio,Mes,Precio m2,Població resident,RFDB per habitant. Milers d'euros,% ocupació
GAVA,Diciembre 2022,"16,0 €/m2",46974.0,18.9,0.88069
GAVA,Noviembre 2022,"15,6 €/m2",46974.0,18.9,0.88069
GAVA,Octubre 2022,"16,6 €/m2",46974.0,18.9,0.88069
GAVA,Septiembre 2022,"16,7 €/m2",46974.0,18.9,0.88069
GAVA,Agosto 2022,"15,0 €/m2",46974.0,18.9,0.88069
GAVA,Julio 2022,"13,7 €/m2",46974.0,18.9,0.88069
GAVA,Junio 2022,"14,1 €/m2",46974.0,18.9,0.88069
GAVA,Mayo 2022,"14,6 €/m2",46974.0,18.9,0.88069
GAVA,Abril 2022,"13,7 €/m2",46974.0,18.9,0.88069
GAVA,Marzo 2022,"14,1 €/m2",46974.0,18.9,0.88069
GAVA,Febrero 2022,"13,8 €/m2",46974.0,18.9,0.88069
GAVA,Enero 2022,"14,4 €/m2",46974.0,18.9,0.88069
GAVA,Diciembre 2021,"15,2 €/m2",46931.0,18.9,0.88069
GAVA,Noviembre 2021,"15,9 €/m2",46931.0,18.9,0.88069
GAVA,Octubre 2021,"15,8 €/m2",46931.0,18.9,0.88069
GAVA,Septiembre 2021,"13,6 €/m2",46931.0,18.9,0.88069
GAVA,Agosto 2021,"13,1 €/m2",46931.0,18.9,0.88069
GAVA,Julio 2021,"13,9 €/m2",46931.0,18.9,0.88069
GAVA,Junio 2021,"13,9 €/m2",46931.0,18.9,0.88069
GAVA,Mayo 2021,"13,8 €/m2",46931.0,18.9,0.88069
GAVA,Abril 2021,"14,1 €/m2",46931.0,18.9,0.88069
GAVA,Marzo 2021,"14,0 €/m2",46931.0,18.9,0.88069
GAVA,Febrero 2021,"13,7 €/m2",46931.0,18.9,0.88069
GAVA,Enero 2021,"13,6 €/m2",46931.0,18.9,0.88069
GAVA,Diciembre 2020,"14,4 €/m2",47057.0,18.9,0.88069
GAVA,Noviembre 2020,"14,8 €/m2",47057.0,18.9,0.88069
GAVA,Octubre 2020,"14,7 €/m2",47057.0,18.9,0.88069
GAVA,Septiembre 2020,"15,4 €/m2",47057.0,18.9,0.88069
GAVA,Agosto 2020,"15,3 €/m2",47057.0,18.9,0.88069
GAVA,Julio 2020,"14,6 €/m2",47057.0,18.9,0.88069
GAVA,Junio 2020,"14,5 €/m2",47057.0,18.9,0.88069
GAVA,Mayo 2020,"14,0 €/m2",47057.0,18.9,0.88069
GAVA,Abril 2020,"14,2 €/m2",47057.0,18.9,0.88069
GAVA,Marzo 2020,"14,0 €/m2",47057.0,18.9,0.88069
GAVA,Febrero 2020,"13,8 €/m2",47057.0,18.9,0.88069
GAVA,Enero 2020,"13,7 €/m2",47057.0,18.9,0.88069
GAVA,Diciembre 2019,"13,6 €/m2",46771.0,19.2,0.88069
GAVA,Noviembre 2019,"12,9 €/m2",46771.0,19.2,0.88069
GAVA,Octubre 2019,"13,4 €/m2",46771.0,19.2,0.88069
GAVA,Septiembre 2019,"13,5 €/m2",46771.0,19.2,0.88069
GAVA,Agosto 2019,"13,3 €/m2",46771.0,19.2,0.88069
GAVA,Julio 2019,"12,6 €/m2",46771.0,19.2,0.88069
GAVA,Junio 2019,"12,8 €/m2",46771.0,19.2,0.88069
GAVA,Mayo 2019,"13,1 €/m2",46771.0,19.2,0.88069
GAVA,Abril 2019,"13,3 €/m2",46771.0,19.2,0.88069
GAVA,Marzo 2019,"12,9 €/m2",46771.0,19.2,0.88069
GAVA,Febrero 2019,"13,6 €/m2",46771.0,19.2,0.88069
GAVA,Enero 2019,"13,8 €/m2",46771.0,19.2,0.88069
HOSPITALET,Diciembre 2022,"14,2 €/m2",265444.0,15.3,0.85615
HOSPITALET,Noviembre 2022,"13,8 €/m2",265444.0,15.3,0.85615
HOSPITALET,Octubre 2022,"14,0 €/m2",265444.0,15.3,0.85615
HOSPITALET,Septiembre 2022,"13,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Agosto 2022,"13,6 €/m2",265444.0,15.3,0.85615
HOSPITALET,Julio 2022,"13,3 €/m2",265444.0,15.3,0.85615
HOSPITALET,Junio 2022,"12,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Mayo 2022,"12,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Abril 2022,"13,1 €/m2",265444.0,15.3,0.85615
HOSPITALET,Marzo 2022,"13,1 €/m2",265444.0,15.3,0.85615
HOSPITALET,Febrero 2022,"12,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Enero 2022,"12,9 €/m2",265444.0,15.3,0.85615
HOSPITALET,Diciembre 2021,"12,9 €/m2",264657.0,15.3,0.85615
HOSPITALET,Noviembre 2021,"12,8 €/m2",264657.0,15.3,0.85615
HOSPITALET,Octubre 2021,"12,7 €/m2",264657.0,15.3,0.85615
HOSPITALET,Septiembre 2021,"12,5 €/m2",264657.0,15.3,0.85615
HOSPITALET,Agosto 2021,"12,5 €/m2",264657.0,15.3,0.85615
HOSPITALET,Julio 2021,"12,4 €/m2",264657.0,15.3,0.85615
HOSPITALET,Junio 2021,"12,4 €/m2",264657.0,15.3,0.85615
HOSPITALET,Mayo 2021,"12,4 €/m2",264657.0,15.3,0.85615
HOSPITALET,Abril 2021,"12,5 €/m2",264657.0,15.3,0.85615
HOSPITALET,Marzo 2021,"12,5 €/m2",264657.0,15.3,0.85615
HOSPITALET,Febrero 2021,"12,5 €/m2",264657.0,15.3,0.85615
HOSPITALET,Enero 2021,"12,5 €/m2",264657.0,15.3,0.85615
HOSPITALET,Diciembre 2020,"12,5 €/m2",269382.0,15.3,0.85615
HOSPITALET,Noviembre 2020,"12,7 €/m2",269382.0,15.3,0.85615
HOSPITALET,Octubre 2020,"13,1 €/m2",269382.0,15.3,0.85615
HOSPITALET,Septiembre 2020,"13,3 €/m2",269382.0,15.3,0.85615
HOSPITALET,Agosto 2020,"13,3 €/m2",269382.0,15.3,0.85615
HOSPITALET,Julio 2020,"13,5 €/m2",269382.0,15.3,0.85615
HOSPITALET,Junio 2020,"13,9 €/m2",269382.0,15.3,0.85615
HOSPITALET,Mayo 2020,"14,0 €/m2",269382.0,15.3,0.85615
HOSPITALET,Abril 2020,"13,9 €/m2",269382.0,15.3,0.85615
HOSPITALET,Marzo 2020,"13,9 €/m2",269382.0,15.3,0.85615
HOSPITALET,Febrero 2020,"14,0 €/m2",269382.0,15.3,0.85615
HOSPITALET,Enero 2020,"13,5 €/m2",269382.0,15.3,0.85615
HOSPITALET,Diciembre 2019,"13,0 €/m2",264923.0,15.9,0.85615
HOSPITALET,Noviembre 2019,"13,0 €/m2",264923.0,15.9,0.85615
HOSPITALET,Octubre 2019,"13,0 €/m2",264923.0,15.9,0.85615
HOSPITALET,Septiembre 2019,"13,1 €/m2",264923.0,15.9,0.85615
HOSPITALET,Agosto 2019,"13,1 €/m2",264923.0,15.9,0.85615
HOSPITALET,Julio 2019,"13,4 €/m2",264923.0,15.9,0.85615
HOSPITALET,Junio 2019,"13,2 €/m2",264923.0,15.9,0.85615
HOSPITALET,Mayo 2019,"12,7 €/m2",264923.0,15.9,0.85615
HOSPITALET,Abril 2019,"12,7 €/m2",264923.0,15.9,0.85615
HOSPITALET,Marzo 2019,"13,0 €/m2",264923.0,15.9,0.85615
HOSPITALET,Febrero 2019,"12,9 €/m2",264923.0,15.9,0.85615
HOSPITALET,Enero 2019,"12,9 €/m2",264923.0,15.9,0.85615
SANT ADRIA,Diciembre 2022,"12,4 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Noviembre 2022,"12,5 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Octubre 2022,"12,9 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Septiembre 2022,"12,7 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Agosto 2022,"12,5 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Julio 2022,"12,9 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Junio 2022,"13,1 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Mayo 2022,"13,0 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Abril 2022,"13,0 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Marzo 2022,"12,8 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Febrero 2022,"12,3 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Enero 2022,"12,4 €/m2",36918.0,14.8,0.8165
SANT ADRIA,Diciembre 2021,"12,7 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Noviembre 2021,"12,7 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Octubre 2021,"12,8 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Septiembre 2021,"12,2 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Agosto 2021,"11,8 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Julio 2021,"12,5 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Junio 2021,"13,0 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Mayo 2021,"12,9 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Abril 2021,"12,8 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Marzo 2021,"11,6 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Febrero 2021,"12,4 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Enero 2021,"13,2 €/m2",37283.0,14.8,0.8165
SANT ADRIA,Diciembre 2020,"13,3 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Noviembre 2020,"14,0 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Octubre 2020,"14,5 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Septiembre 2020,"14,3 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Agosto 2020,"14,4 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Julio 2020,"14,2 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Junio 2020,"14,9 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Mayo 2020,"14,7 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Abril 2020,"13,7 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Marzo 2020,"13,7 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Febrero 2020,"14,3 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Enero 2020,"14,5 €/m2",37447.0,14.8,0.8165
SANT ADRIA,Diciembre 2019,"14,5 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Noviembre 2019,"13,6 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Octubre 2019,"14,7 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Septiembre 2019,"14,1 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Agosto 2019,"14,2 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Julio 2019,"15,2 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Junio 2019,"14,7 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Mayo 2019,"14,0 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Abril 2019,"13,6 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Marzo 2019,"13,5 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Febrero 2019,"13,7 €/m2",37097.0,15.2,0.8165
SANT ADRIA,Enero 2019,"14,0 €/m2",37097.0,15.2,0.8165
SANT FELIU LL.,Diciembre 2022,"12,8 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Noviembre 2022,"12,6 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Octubre 2022,"12,3 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Septiembre 2022,"12,0 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Agosto 2022,"11,8 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Julio 2022,"11,9 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Junio 2022,"12,5 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Mayo 2022,"11,9 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Abril 2022,"11,4 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Marzo 2022,"11,2 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Febrero 2022,"11,3 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Enero 2022,"11,4 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Diciembre 2021,"11,4 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Noviembre 2021,"11,3 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Octubre 2021,"11,4 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Septiembre 2021,"10,9 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Agosto 2021,"10,9 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Julio 2021,"10,8 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Junio 2021,"10,9 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Mayo 2021,"10,8 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Abril 2021,"11,1 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Marzo 2021,"11,1 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Febrero 2021,"11,2 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Enero 2021,"11,2 €/m2",45463.0,19.0,0.8971497714
SANT FELIU LL.,Diciembre 2020,"11,2 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Noviembre 2020,"11,3 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Octubre 2020,"11,4 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Septiembre 2020,"11,2 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Agosto 2020,"11,7 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Julio 2020,"11,5 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Junio 2020,"11,2 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Mayo 2020,"11,2 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Abril 2020,"11,3 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Marzo 2020,"10,9 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Febrero 2020,"10,8 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Enero 2020,"10,4 €/m2",45467.0,19.0,0.8971497714
SANT FELIU LL.,Diciembre 2019,"10,7 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Noviembre 2019,"10,6 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Octubre 2019,n.d.,44860.0,19.5,0.8971497714
SANT FELIU LL.,Septiembre 2019,"10,4 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Agosto 2019,"10,7 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Julio 2019,"11,4 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Junio 2019,"11,0 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Mayo 2019,"11,2 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Abril 2019,"11,2 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Marzo 2019,"11,7 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Febrero 2019,"11,3 €/m2",44860.0,19.5,0.8971497714
SANT FELIU LL.,Enero 2019,"11,3 €/m2",44860.0,19.5,0.8971497714
VILADECANS,Diciembre 2022,"11,8 €/m2",66720.0,17.1,0.8791
VILADECANS,Noviembre 2022,"11,9 €/m2",66720.0,17.1,0.8791
VILADECANS,Octubre 2022,"11,8 €/m2",66720.0,17.1,0.8791
VILADECANS,Septiembre 2022,"11,0 €/m2",66720.0,17.1,0.8791
VILADECANS,Agosto 2022,"11,5 €/m2",66720.0,17.1,0.8791
VILADECANS,Julio 2022,"11,6 €/m2",66720.0,17.1,0.8791
VILADECANS,Junio 2022,"11,6 €/m2",66720.0,17.1,0.8791
VILADECANS,Mayo 2022,"11,6 €/m2",66720.0,17.1,0.8791
VILADECANS,Abril 2022,"11,1 €/m2",66720.0,17.1,0.8791
VILADECANS,Marzo 2022,"10,5 €/m2",66720.0,17.1,0.8791
VILADECANS,Febrero 2022,"10,9 €/m2",66720.0,17.1,0.8791
VILADECANS,Enero 2022,"11,0 €/m2",66720.0,17.1,0.8791
VILADECANS,Diciembre 2021,"11,0 €/m2",66707.0,17.1,0.8791
VILADECANS,Noviembre 2021,"10,6 €/m2",66707.0,17.1,0.8791
VILADECANS,Octubre 2021,"10,4 €/m2",66707.0,17.1,0.8791
VILADECANS,Septiembre 2021,"10,5 €/m2",66707.0,17.1,0.8791
VILADECANS,Agosto 2021,"10,8 €/m2",66707.0,17.1,0.8791
VILADECANS,Julio 2021,"10,9 €/m2",66707.0,17.1,0.8791
VILADECANS,Junio 2021,"10,5 €/m2",66707.0,17.1,0.8791
VILADECANS,Mayo 2021,"10,5 €/m2",66707.0,17.1,0.8791
VILADECANS,Abril 2021,"11,0 €/m2",66707.0,17.1,0.8791
VILADECANS,Marzo 2021,"10,5 €/m2",66707.0,17.1,0.8791
VILADECANS,Febrero 2021,"10,2 €/m2",66707.0,17.1,0.8791
VILADECANS,Enero 2021,"10,4 €/m2",66707.0,17.1,0.8791
VILADECANS,Diciembre 2020,"11,0 €/m2",67197.0,17.1,0.8791
VILADECANS,Noviembre 2020,"11,2 €/m2",67197.0,17.1,0.8791
VILADECANS,Octubre 2020,"11,1 €/m2",67197.0,17.1,0.8791
VILADECANS,Septiembre 2020,"10,6 €/m2",67197.0,17.1,0.8791
VILADECANS,Agosto 2020,"10,8 €/m2",67197.0,17.1,0.8791
VILADECANS,Julio 2020,"10,7 €/m2",67197.0,17.1,0.8791
VILADECANS,Junio 2020,"11,1 €/m2",67197.0,17.1,0.8791
VILADECANS,Mayo 2020,"11,1 €/m2",67197.0,17.1,0.8791
VILADECANS,Abril 2020,"11,0 €/m2",67197.0,17.1,0.8791
VILADECANS,Marzo 2020,"11,3 €/m2",67197.0,17.1,0.8791
VILADECANS,Febrero 2020,"11,0 €/m2",67197.0,17.1,0.8791
VILADECANS,Enero 2020,"11,4 €/m2",67197.0,17.1,0.8791
VILADECANS,Diciembre 2019,"11,3 €/m2",66611.0,17.5,0.8791
VILADECANS,Noviembre 2019,"11,0 €/m2",66611.0,17.5,0.8791
VILADECANS,Octubre 2019,"11,3 €/m2",66611.0,17.5,0.8791
VILADECANS,Septiembre 2019,"11,1 €/m2",66611.0,17.5,0.8791
VILADECANS,Agosto 2019,"10,3 €/m2",66611.0,17.5,0.8791
VILADECANS,Julio 2019,"10,0 €/m2",66611.0,17.5,0.8791
VILADECANS,Junio 2019,"11,2 €/m2",66611.0,17.5,0.8791
VILADECANS,Mayo 2019,"11,0 €/m2",66611.0,17.5,0.8791
VILADECANS,Abril 2019,"11,0 €/m2",66611.0,17.5,0.8791
VILADECANS,Marzo 2019,"10,7 €/m2",66611.0,17.5,0.8791
VILADECANS,Febrero 2019,"10,3 €/m2",66611.0,17.5,0.8791
VILADECANS,Enero 2019,"10,0 €/m2",66611.0,17.5,0.8791
